WAKEFIELD,Nathaniel Hawthorne,United States,,manual/processed/wakefield-by-nathaniel-hawthorne-0002-0008.txt
A RILL FROM THE TOWN PUMP,Nathaniel Hawthorne,United States,,manual/processed/a-rill-from-the-town-pump-by-nathaniel-hawthorne-0002-0009.txt
THE GREAT CARBUNCLE,Nathaniel Hawthorne,United States,,manual/processed/the-great-carbuncle-by-nathaniel-hawthorne-0002-0010.txt
THE PROPHETIC PICTURES,Nathaniel Hawthorne,United States,,manual/processed/the-prophetic-pictures-by-nathaniel-hawthorne-0002-0011.txt
DAVID SWAN,Nathaniel Hawthorne,United States,,manual/processed/david-swan-by-nathaniel-hawthorne-0002-0012.txt
SIGHTS FROM A STEEPLE,Nathaniel Hawthorne,United States,,manual/processed/sights-from-a-steeple-by-nathaniel-hawthorne-0002-0013.txt
THE HOLLOW OF THE THREE HILLS,Nathaniel Hawthorne,United States,,manual/processed/the-hollow-of-the-three-hills-by-nathaniel-hawthorne-0002-0014.txt
THE TOLL-GATHERER'S DAY,Nathaniel Hawthorne,United States,,manual/processed/the-toll-gatherer-s-day-by-nathaniel-hawthorne-0002-0015.txt
THE VISION OF THE FOUNTAIN,Nathaniel Hawthorne,United States,,manual/processed/the-vision-of-the-fountain-by-nathaniel-hawthorne-0002-0016.txt
FANCY'S SHOW-BOX,Nathaniel Hawthorne,United States,,manual/processed/fancy-s-show-box-by-nathaniel-hawthorne-0002-0017.txt
DR. HEIDEGGER'S EXPERIMENT,Nathaniel Hawthorne,United States,,manual/processed/dr-heidegger-s-experiment-by-nathaniel-hawthorne-0002-0018.txt
THE HAUNTED MIND,Nathaniel Hawthorne,United States,,manual/processed/the-haunted-mind-by-nathaniel-hawthorne-0002-0019.txt
THE VILLAGE UNCLE,Nathaniel Hawthorne,United States,,manual/processed/the-village-uncle-by-nathaniel-hawthorne-0002-0020.txt
THE AMBITIOUS GUEST,Nathaniel Hawthorne,United States,,manual/processed/the-ambitious-guest-by-nathaniel-hawthorne-0002-0021.txt
THE SISTER-YEARS,Nathaniel Hawthorne,United States,,manual/processed/the-sister-years-by-nathaniel-hawthorne-0002-0022.txt
SNOWFLAKES,Nathaniel Hawthorne,United States,,manual/processed/snowflakes-by-nathaniel-hawthorne-0002-0023.txt
THE SEVEN VAGABONDS,Nathaniel Hawthorne,United States,,manual/processed/the-seven-vagabonds-by-nathaniel-hawthorne-0002-0024.txt
THE WHITE OLD MAID,Nathaniel Hawthorne,United States,,manual/processed/the-white-old-maid-by-nathaniel-hawthorne-0002-0025.txt
