"Curse of the Competent, The",Henry J. Finn,United States,,bookshelf/processed/curse-of-the-competent-the-by-henry-j-finn.txt
"Grammatical Boy, The",Bill Nye,United States,,bookshelf/processed/grammatical-boy-the-by-bill-nye.txt
Simple English,Ray Clarke Rose,United States,,bookshelf/processed/simple-english-by-ray-clarke-rose.txt
Partingtonian Patchwork,B.P. Shillaber,United States,,bookshelf/processed/partingtonian-patchwork-by-b-p-shillaber.txt
"Menagerie, The",William Vaughn Moody,United States,,bookshelf/processed/menagerie-the-by-william-vaughn-moody.txt
Down Around the River,James Whitcomb Riley,United States,,bookshelf/processed/down-around-the-river-by-james-whitcomb-riley.txt
"Medieval Discoverer, A",Bill Nye,United States,,bookshelf/processed/medieval-discoverer-a-by-bill-nye.txt
Wanted—A Cook,Alan Dale,United States,,bookshelf/processed/wanted-a-cook-by-alan-dale.txt
Similar Cases,Charlotte Perkins Gilman,United States,,bookshelf/processed/similar-cases-by-charlotte-perkins-gilman.txt
"Old Maid's House, The: In Plan",Elizabeth Stuart Phelps,United States,,bookshelf/processed/old-maid-s-house-the-in-plan-by-elizabeth-stuart-phelps.txt
Distichs,John Hay,United States,,bookshelf/processed/distichs-by-john-hay.txt
"Quarrel, The",S.E. Kiser,United States,,bookshelf/processed/quarrel-the-by-s-e-kiser.txt
"Letter from Mr. Biggs, A",E.W. Howe,United States,,bookshelf/processed/letter-from-mr-biggs-a-by-e-w-howe.txt
Mrs. Johnson,William Dean Howells,United States,,bookshelf/processed/mrs-johnson-by-william-dean-howells.txt
Pass,Ironquill,United States,,bookshelf/processed/pass-by-ironquill.txt
Teaching by Example,John G. Saxe,United States,,bookshelf/processed/teaching-by-example-by-john-g-saxe.txt
When Albani Sang,William Henry Drummond,United States,,bookshelf/processed/when-albani-sang-by-william-henry-drummond.txt
Colonel Sterett's Panther Hunt,Alfred Henry Lewis,United States,,bookshelf/processed/colonel-sterett-s-panther-hunt-by-alfred-henry-lewis.txt
Wouter Van Twiller,Washington Irving,United States,,bookshelf/processed/wouter-van-twiller-by-washington-irving.txt
"Experiences of the A.C., The",Bayard Taylor,United States,,bookshelf/processed/experiences-of-the-a-c-the-by-bayard-taylor.txt
What Mr. Robinson Thinks,James Russell Lowell,United States,,bookshelf/processed/what-mr-robinson-thinks-by-james-russell-lowell.txt
"Day We Do Not Celebrate, The",Robert J. Burdette,United States,,bookshelf/processed/day-we-do-not-celebrate-the-by-robert-j-burdette.txt
